name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner
Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner
Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner
Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner
Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner
Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner
Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner
Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner
